"Year","Pred_Species","Pred_common","n_stomachs"
2011,"Hemitripterus bolini","Bigmouth sculpin",24
2011,"Sebastes aleutianus","Rougheye rockfish",131
2011,"Squalus acanthias","Spiny dogfish",86
2011,"Ophiodon elongatus","Lingcod",89
2011,"species","common",92
2011,"Oncorhynchus keta","Chum salmon",26
2011,"Hemilepidotus jordani","Yellow Irish lord",116
2011,"Sebastes polyspinis","Northern rockfish",156
2011,"Albatrossia pectoralis","Giant grenadier",84
2011,"Sebastolobus alascanus","Shortspine thornyhead",141
2011,"Sebastes brevispinis","Silvergray rockfish",92
2011,"Sebastes ruberrimus","Yelloweye rockfish",12
2011,"Oncorhynchus gorbuscha","Pink salmon",8
2011,"Oncorhynchus nerka","Sockeye salmon",1
2011,"Myoxocephalus jaok","Plain sculpin",27
2013,"Hemilepidotus jordani","Yellow Irish lord",4
2013,"Sebastes polyspinis","Northern rockfish",22
2013,"Hippoglossus stenolepis","Pacific halibut",1368
2015,"Atheresthes stomias","Arrowtooth flounder",1572
2015,"Sebastes alutus","Pacific ocean perch",602
2015,"Hippoglossus stenolepis","Pacific halibut",942
2015,"Gadus macrocephalus","Pacific cod",955
2015,"Gadus chalcogrammus","Walleye pollock",1109
2015,"Squalus acanthias","Spiny dogfish",95
2015,"Atheresthes evermanni","Kamchatka flounder",3
2015,"Salvelinus malma","Dolly Varden",4
2011,"Lepidopsetta bilineata","Southern rock sole",199
2011,"Oncorhynchus kisutch","Coho salmon",5
2011,"Eopsetta jordani","Petrale Sole",8
2011,"Elassodiscus caudatus","Humpback snailfish",1
2011,"Sebastes flavidus","Yellowtail rockfish",11
2011,"Clupea pallasii","Pacific herring",1
2011,"Merluccius productus","Pacific hake",32
2011,"Coryphaenoides acrolepis","Pacific grenadier",2
2011,"Sebastes babcocki","Redbanded rockfish",5
2011,"Sebastes crameri","Darkblotched rockfish",1
2017,"Gadus macrocephalus","Pacific cod",582
2017,"Gadus chalcogrammus","Walleye pollock",946
2017,"Atheresthes stomias","Arrowtooth flounder",1517
2017,"Sebastes alutus","Pacific ocean perch",723
2017,"Hippoglossus stenolepis","Pacific halibut",789
2017,"Albatrossia pectoralis","Giant grenadier",10
2015,"Sebastes babcocki","Redbanded rockfish",1
2015,"Sebastes borealis","Shortraker rockfish",2
2015,"Sebastes variabilis","Dusky rockfish",7
2017,"Trichodon trichodon","Pacific sandfish",9
2017,"Ophiodon elongatus","Lingcod",1
2019,"Gadus macrocephalus","Pacific cod",774
2021,"Gadus chalcogrammus","Walleye pollock",790
2019,"Atheresthes stomias","Arrowtooth flounder",1191
2019,"Gadus chalcogrammus","Walleye pollock",935
2019,"Hippoglossus stenolepis","Pacific halibut",701
2019,"Sebastes alutus","Pacific ocean perch",454
2021,"Hippoglossus stenolepis","Pacific halibut",556
2021,"Atheresthes stomias","Arrowtooth flounder",1054
2021,"Gadus macrocephalus","Pacific cod",577
2021,"Sebastes alutus","Pacific ocean perch",501
