Prey,Predator,"s(RLONG, RLAT)","s(GEAR_DEPTH, k = 4)","s(GEAR_TEMP, k = 4)","s(PRED_LEN, k = 4)",Year,adjR^2,Dsquared,df,logLik,AIC,delta,weight
Osmerid,Pacific halibut,+,+,+,+,+,0.29,0.25,47,-1105,2305,0.00,0.84
Osmerid,Pacific halibut,+,+,NA,+,+,0.29,0.25,44,-1110,2308,3.26,0.16
Osmerid,Pacific halibut,+,NA,+,+,+,0.27,0.23,46,-1134,2361,56.95,0.00
Osmerid,Pacific halibut,+,NA,NA,+,+,0.26,0.22,43,-1154,2395,90.37,0.00
Osmerid,Pacific halibut,+,+,+,+,NA,0.24,0.21,33,-1173,2413,108.23,0.00
Osmerid,Pacific halibut,+,+,NA,+,NA,0.23,0.20,30,-1184,2427,122.68,0.00
Osmerid,Pacific halibut,+,NA,+,+,NA,0.19,0.16,30,-1238,2536,231.60,0.00
Osmerid,Pacific halibut,+,NA,NA,+,NA,0.19,0.16,29,-1241,2540,235.63,0.00
Osmerid,Arrowtooth flounder,+,+,+,+,+,0.24,0.18,48,-2889,5874,0.00,0.99
Osmerid,Arrowtooth flounder,+,+,NA,+,+,0.24,0.18,45,-2896,5884,9.84,0.01
Osmerid,Arrowtooth flounder,+,NA,+,+,+,0.24,0.18,46,-2902,5898,24.19,0.00
Osmerid,Arrowtooth flounder,+,NA,NA,+,+,0.23,0.17,44,-2919,5926,52.30,0.00
Osmerid,Arrowtooth flounder,+,+,+,+,NA,0.17,0.13,34,-3087,6244,370.01,0.00
Osmerid,Arrowtooth flounder,+,+,NA,+,NA,0.17,0.12,32,-3097,6258,384.58,0.00
Osmerid,Arrowtooth flounder,+,NA,+,+,NA,0.16,0.12,33,-3109,6285,410.88,0.00
Osmerid,Arrowtooth flounder,+,NA,NA,+,NA,0.16,0.12,30,-3115,6291,416.85,0.00
Tanner crab,Pacific halibut,+,+,+,+,+,0.25,0.19,49,-2222,4544,0.00,0.79
Tanner crab,Pacific halibut,+,+,NA,+,+,0.25,0.19,47,-2226,4547,2.66,0.21
Tanner crab,Pacific halibut,+,+,+,+,NA,0.22,0.16,35,-2285,4641,97.41,0.00
Tanner crab,Pacific halibut,+,NA,+,+,+,0.22,0.16,47,-2295,4685,141.27,0.00
Tanner crab,Pacific halibut,+,+,NA,+,NA,0.21,0.15,32,-2311,4687,142.96,0.00
Tanner crab,Pacific halibut,+,NA,NA,+,+,0.20,0.15,44,-2330,4749,205.44,0.00
Tanner crab,Pacific halibut,+,NA,+,+,NA,0.19,0.14,33,-2345,4756,212.11,0.00
Tanner crab,Pacific halibut,+,NA,NA,+,NA,0.16,0.12,29,-2419,4897,353.42,0.00
Tanner crab,Pacific cod,+,+,+,+,+,0.27,0.19,50,-3591,7283,0.00,1.00
Tanner crab,Pacific cod,+,+,NA,+,+,0.27,0.19,49,-3611,7320,37.24,0.00
Tanner crab,Pacific cod,+,+,NA,+,NA,0.24,0.17,35,-3692,7455,172.51,0.00
Tanner crab,Pacific cod,+,+,+,+,NA,0.24,0.17,37,-3690,7456,173.38,0.00
Tanner crab,Pacific cod,+,NA,+,+,+,0.22,0.16,48,-3757,7610,327.36,0.00
Tanner crab,Pacific cod,+,NA,NA,+,+,0.22,0.15,46,-3779,7650,367.55,0.00
Tanner crab,Pacific cod,+,NA,+,+,NA,0.21,0.14,34,-3816,7701,418.08,0.00
Tanner crab,Pacific cod,+,NA,NA,+,NA,0.19,0.14,32,-3855,7775,491.83,0.00
Paguridae,Pacific halibut,+,+,+,+,+,0.34,0.22,50,-3567,7235,0.00,1.00
Paguridae,Pacific halibut,+,NA,+,+,+,0.34,0.21,46,-3577,7248,13.23,0.00
Paguridae,Pacific halibut,+,+,NA,+,+,0.33,0.21,47,-3578,7251,16.11,0.00
Paguridae,Pacific halibut,+,NA,NA,+,+,0.33,0.21,43,-3589,7267,31.75,0.00
Paguridae,Pacific halibut,+,+,+,+,NA,0.33,0.21,36,-3603,7278,42.64,0.00
Paguridae,Pacific halibut,+,+,NA,+,NA,0.33,0.21,33,-3610,7287,52.57,0.00
Paguridae,Pacific halibut,+,NA,+,+,NA,0.32,0.20,32,-3614,7294,58.99,0.00
Paguridae,Pacific halibut,+,NA,NA,+,NA,0.32,0.20,30,-3625,7310,75.34,0.00
Paguridae,Pacific cod,+,+,+,+,+,0.11,0.08,48,-4064,8225,0.00,1.00
Paguridae,Pacific cod,+,NA,+,+,+,0.10,0.07,45,-4085,8261,35.76,0.00
Paguridae,Pacific cod,+,+,NA,+,+,0.10,0.07,48,-4084,8264,38.79,0.00
Paguridae,Pacific cod,+,NA,NA,+,+,0.10,0.07,44,-4098,8286,60.92,0.00
Paguridae,Pacific cod,+,+,+,+,NA,0.10,0.07,35,-4112,8295,69.60,0.00
Paguridae,Pacific cod,+,+,NA,+,NA,0.09,0.06,34,-4126,8321,96.08,0.00
Paguridae,Pacific cod,+,NA,+,+,NA,0.09,0.06,32,-4128,8321,96.31,0.00
Paguridae,Pacific cod,+,NA,NA,+,NA,0.09,0.06,30,-4142,8346,121.25,0.00
