,Pred_name,Com_name,F,E,T,% Empty,min,max,Mean,+/-SD,year
229,Hippoglossus stenolepis,Pacific halibut,747,195,942,20.70063694,15,123,60.44042838,9.609013639,2015
230,Salvelinus malma,Dolly Varden,4,0,4,0,31,47,39.5,3.662876829,2015
231,Sebastes alutus,Pacific ocean perch,411,191,602,31.72757475,12,48,35.73479319,2.869105034,2015
232,Sebastes babcocki,redbanded rockfish,1,0,1,0,46,46,46,NA,2015
233,Sebastes variabilis,0,1,6,7,85.71428571,43,43,43,NA,2015
234,Squalus acanthias,spiny dogfish,76,19,95,20,62,105,77.89473684,3.641958216,2015
235,Sebastes borealis,0,0,2,2,100,NA,NA,NA,NA,NA
236,Albatrossia pectoralis,giant grenadier,4,6,10,60,24,34,28.5,2.62995564,2017
237,Atheresthes stomias,arrowtooth flounder,634,883,1517,58.20698748,14,77,41.4384858,6.39170637,2017
238,Gadus chalcogrammus,walleye pollock,856,90,946,9.513742072,13,74,39.18691589,6.502633148,2017
239,Gadus macrocephalus,Pacific cod,565,17,582,2.920962199,18,97,53.21946903,7.326261475,2017
240,Hippoglossus stenolepis,Pacific halibut,655,134,789,16.98352345,16,126,60.32671756,9.16682129,2017
241,Ophiodon elongatus,0,1,0,1,0,89,89,89,NA,2017
242,Sebastes alutus,Pacific ocean perch,490,233,723,32.22683264,19,48,36.4122449,2.91921973,2017
243,Trichodon trichodon,0,7,2,9,22.22222222,13,18,15.57142857,0.859124693,2017
244,Atheresthes stomias,arrowtooth flounder,644,547,1191,NA,14,77,41.4363354,6.720259918,2019
245,Gadus chalcogrammus,walleye pollock,901,34,935,NA,7,69,41.69256382,6.450577928,2019
246,Gadus macrocephalus,Pacific cod,762,12,774,NA,15,98,52.15091864,8.281029021,2019
247,Hippoglossus stenolepis,Pacific halibut,565,136,701,NA,19,123,61.33274336,9.488034744,2019
248,Sebastes alutus,Pacific ocean perch,345,109,454,NA,15,50,35.15362319,3.548548054,2019
